what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.mylyn.help.ui,3.6.1.v20110830-0100,"org.eclipse.mylyn.help.ui",1403697586832
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.6.1.v20110825-0100,"org.eclipse.mylyn.tasks.bugs",1403697586832
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1403697586839
stopped,bundle,org.eclipse.compare,3.5.400.v20130514-1224,"org.eclipse.compare",1403697586839
stopped,bundle,org.eclipse.m2e.discovery,1.4.0.20130601-0317,"org.eclipse.m2e.discovery",1403697586839
stopped,bundle,org.eclipse.m2e.logback.configuration,1.4.0.20130601-0317,"org.eclipse.m2e.logback.configuration",1403697586839
stopped,bundle,org.eclipse.datatools.enablement.hsqldb.ui,1.0.0.v201108120600,"org.eclipse.datatools.enablement.hsqldb.ui",1403697586840
stopped,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201105270214,"org.eclipse.datatools.enablement.ingres.ui",1403697586840
stopped,bundle,org.eclipse.datatools.enablement.postgresql.ui,1.0.0.v201107221506,"org.eclipse.datatools.enablement.postgresql.ui",1403697586841
stopped,bundle,org.eclipse.datatools.enablement.sqlite.ui,1.0.0.v201107221507,"org.eclipse.datatools.enablement.sqlite.ui",1403697586841
stopped,bundle,org.eclipse.datatools.connectivity.db.generic.ui,1.0.2.v201211200622,"org.eclipse.datatools.connectivity.db.generic.ui",1403697586842
stopped,bundle,org.eclipse.datatools.connectivity.apache.derby.ui,1.0.3.v201107221459,"org.eclipse.datatools.connectivity.apache.derby.ui",1403697586842
stopped,bundle,org.eclipse.datatools.enablement.sybase.ui,1.0.0.v200906090452,"org.eclipse.datatools.enablement.sybase.ui",1403697586843
stopped,bundle,org.eclipse.datatools.sqltools.data.ui,1.2.2.v201212120623,"org.eclipse.datatools.sqltools.data.ui",1403697586843
stopped,bundle,org.eclipse.datatools.connectivity.sqm.server.ui,1.1.101.v201212070447,"org.eclipse.datatools.connectivity.sqm.server.ui",1403697586844
stopped,bundle,org.eclipse.datatools.sqltools.db.derby.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.derby.ui",1403697586844
stopped,bundle,org.eclipse.datatools.sqltools.db.generic.ui,1.0.0.v200906020900,"org.eclipse.datatools.sqltools.db.generic.ui",1403697586845
stopped,bundle,org.eclipse.datatools.sqltools.routineeditor.ui,1.0.3.v201211200616,"org.eclipse.datatools.sqltools.routineeditor.ui",1403697586845
stopped,bundle,org.eclipse.datatools.sqltools.sqlbuilder,1.0.5.v201212120623,"org.eclipse.datatools.sqltools.sqlbuilder",1403697586846
